Environment,EncodeDim,UseCovLoss,UseControlLoss,WeightedError,NormalizedCovLoss
Go2,16,1,0,1.8414790719548815,0.0012470482833842032
Go2,16,0,0,1.8842597652189121,45571.984068295074
Go2,64,1,1,1.706539713462305,0.006070040065608316
Go2,64,0,1,1.7345919914349461,1074.3919608492608
Go2,64,1,0,1.7130255185086298,0.0028707236888657842
Go2,64,0,0,1.7345313963913127,1336.348265768215
Go2,256,1,1,1.6595370349543501,0.006907680980241666
Go2,256,0,1,1.688637833519262,57.83858255306735
Go2,256,1,0,1.6653799277653032,0.0049001019381270895
Go2,256,0,0,1.7034236496415645,77.34220576932726
Go2,1024,1,1,1.6185627577652053,0.007897116105736467
Go2,1024,0,1,1.6339548513695465,7.230806632703523
Go2,1024,1,0,1.6379489150986482,0.0072316824524861064
Go2,1024,0,0,1.6692151586827442,9.496338666560183
