Environment,CovLoss_AbsImprovement,CovLoss_%Improvement,CtrlLoss_AbsImprovement,CtrlLoss_%Improvement,BothLoss_AbsImprovement,BothLoss_%Improvement
DampingPendulum,-0.000338114983673353,-2.9673258106620164,-0.002306454535012809,-18.697625719268366,-0.0015527361141198137,-13.476805250799046
DoublePendulum,-0.0001014528821647348,-0.524712210623992,-0.0016090304537820592,-8.313599801540835,-0.001522012466589244,-7.869842071705188
Franka,-8.892389449849604e-07,4.3487645578125775,1.796756852483939e-05,10.975698377835474,1.764741556366614e-05,8.891262756774193
G1,0.025562316637069493,4.729547447750919,-0.014686935559972959,-2.3331163449380523,0.008188589986401984,1.9514553961280918
Go2,0.04905024039082306,2.588403100854381,-0.06492838858737113,-3.0183701983208318,-0.014811639626839535,-0.40149874765598986
LogisticMap,-0.0003809268788193251,-3.9561978014415287,,,,
Polynomial,-0.002616869347986237,-320.45336128145607,,,,
