env_name,train_samples,encode_dim,use_control_loss,use_covariance_loss,mean_JrPE,mean_JrPE,mean_survival_steps,mean_survival_steps
,,,,,mean,std,mean,std
Go2,2333,35,False,False,0.778271655378545,0.14574893403024208,1.3834,0.08072050544935898
Go2,2333,35,False,True,0.7779194672411985,0.1464633058066301,1.3821999999999999,0.08248454400674111
Go2,2333,35,True,False,0.7609177532471008,0.17275296843526697,1.3901999999999999,0.13058598699707405
Go2,2333,35,True,True,0.760620109328345,0.17384477784470856,1.3884,0.1307642917619332
Go2,2333,70,False,False,0.6421202750649821,0.032380019858013295,1.6765999999999999,0.1261102692091329
Go2,2333,70,False,True,0.6421905219535216,0.03203551209679474,1.6774,0.12598134782577936
Go2,2333,70,True,False,0.6502031235883485,0.07348696025624805,1.7222000000000002,0.048038526205536294
Go2,2333,70,True,True,0.6504931322257992,0.0726275768214406,1.722,0.0457875528937724
Go2,2333,140,False,False,0.6348475909223479,0.037682378307692686,1.6472000000000002,0.06967926520852533
Go2,2333,140,False,True,0.6354149882324881,0.03792230198291632,1.6478000000000002,0.0675995562115611
Go2,2333,140,True,False,0.648282368343278,0.0428578203755862,1.7893999999999999,0.11015806824740527
Go2,2333,140,True,True,0.6472454775076496,0.04276110213833984,1.7902,0.11021660491958549
Go2,2333,280,False,False,0.5824275970494429,0.04429387688974441,2.0326,0.17845671744151312
Go2,2333,280,False,True,0.582668747335578,0.04442371757266388,2.032,0.17744717523815365
Go2,2333,280,True,False,0.614690771208428,0.04730935148479282,2.444,0.154694860935973
Go2,2333,280,True,True,0.6137674913724934,0.04623988904602717,2.4376,0.1556913613531592
Go2,2333,560,False,False,0.5828699101801875,0.06374288413415062,2.0436,0.13514547717182396
Go2,2333,560,False,True,0.5830755567954148,0.06394962721754797,2.0404,0.13533403119688722
Go2,2333,560,True,False,0.605896557304654,0.04066896598005042,2.6678,0.13395782918515817
Go2,2333,560,True,True,0.6056571616435484,0.04013744040377177,2.672,0.14020342363865465
Go2,9333,35,False,False,0.8276801409058552,0.13867500611509564,1.4644,0.1408502751151023
Go2,9333,35,False,True,0.8280961217460943,0.13868868571204107,1.4647999999999999,0.1416746272273198
Go2,9333,35,True,False,0.7582972256208478,0.15058115382173154,1.4507999999999999,0.168490949311825
Go2,9333,35,True,True,0.7592515420479162,0.1505515831355823,1.4474,0.16778796142751123
Go2,9333,70,False,False,0.6455639389442134,0.04198582566944657,1.668,0.10655515003977989
Go2,9333,70,False,True,0.6450267894302046,0.04180132140853053,1.6642,0.10509376765536581
Go2,9333,70,True,False,0.6680134153314071,0.05412328363319806,1.759,0.13089499608464794
Go2,9333,70,True,True,0.6686280930900631,0.05423189716527177,1.7602,0.1307944952970116
Go2,9333,140,False,False,0.6264297808154151,0.029877193141522585,1.6292000000000002,0.04576243000540947
Go2,9333,140,False,True,0.6258351757522564,0.03057982946162631,1.6271999999999998,0.04515196562720161
Go2,9333,140,True,False,0.6557817825934181,0.0501602276978528,1.9072,0.06548053145783096
Go2,9333,140,True,True,0.6562509831951079,0.050617604868712765,1.908,0.06961321713582838
Go2,9333,280,False,False,0.577255324616735,0.031552570012758165,2.0672,0.19706521763111817
Go2,9333,280,False,True,0.5775594706357131,0.03268448960934151,2.0644,0.1965166659599129
Go2,9333,280,True,False,0.6410473096725356,0.05583397534936774,2.566,0.13768079023596583
Go2,9333,280,True,True,0.6411809009310188,0.05566699337059955,2.564,0.13517026300188978
Go2,9333,560,False,False,0.5636808285394265,0.014088418622235192,2.068,0.11386834503056592
Go2,9333,560,False,True,0.5635571808261709,0.01410839502630618,2.0702,0.11468304146646964
