env_name,encode_dim,train_samples,use_control_loss,use_covariance_loss,stability_rate,error,control_cost
DoublePendulum,4,1000,False,False,1.0,0.4937943799005147,5981.731117231116
DoublePendulum,4,1000,False,True,1.0,0.311326275001258,694.0576662876966
DoublePendulum,4,1000,True,False,0.6,0.5895380882031661,4281.151189247979
DoublePendulum,4,1000,True,True,1.0,1.350587464538824,1923.5124073659592
DoublePendulum,8,1000,False,False,0.8,0.2966625391242495,1795.9080148768137
DoublePendulum,8,1000,False,True,1.0,0.766259739968697,3061.2174595935508
DoublePendulum,8,1000,True,False,0.8,0.5920865925710613,1516.2363844312406
DoublePendulum,8,1000,True,True,0.8,0.357262086559606,356.3995478665441
DoublePendulum,16,1000,False,False,0.8,0.8794914964920362,498.5336095718742
DoublePendulum,16,1000,False,True,1.0,0.2497963895623602,364.2600970491226
DoublePendulum,16,1000,True,False,0.4,0.3018366504310776,4904.459271118548
DoublePendulum,16,1000,True,True,0.8,0.5156523647290773,1867.353788932649
DoublePendulum,32,1000,False,False,0.8,0.4355738232387404,324.7379659384532
DoublePendulum,32,1000,False,True,1.0,0.1309250336365862,116.6307336130068
DoublePendulum,32,1000,True,False,1.0,0.3423241516427692,450.9026256984523
DoublePendulum,32,1000,True,True,0.8,0.4688740608145268,2855.3679617460657
DoublePendulum,64,1000,False,False,1.0,0.0789581153884503,2066.622869712963
DoublePendulum,64,1000,False,True,0.8,0.355331591974034,2051.227269764273
DoublePendulum,64,1000,True,False,1.0,1.0771855018935417,13327.36588750327
DoublePendulum,64,1000,True,True,1.0,0.9185720647688582,5168.580074332547
DoublePendulum,4,4000,False,False,1.0,0.0809484110085221,400.41314191740224
DoublePendulum,4,4000,False,True,1.0,0.5546076221927779,842.2657555316296
DoublePendulum,4,4000,True,False,1.0,1.3494987515038397,13195.572211805942
DoublePendulum,4,4000,True,True,0.8,1.3953619255592922,3917.693417592431
DoublePendulum,8,4000,False,False,0.8,0.1185554981236191,462.63911418442734
DoublePendulum,8,4000,False,True,1.0,0.152863552189717,291.57486708429303
DoublePendulum,8,4000,True,False,0.8,0.2496271318370691,927.7617775143266
DoublePendulum,8,4000,True,True,0.6,0.110853376502605,191.4320991680696
DoublePendulum,16,4000,False,False,1.0,0.7179089396498746,1290.125013327266
DoublePendulum,16,4000,False,True,1.0,1.1141306935627302,1001.1942746488256
DoublePendulum,16,4000,True,False,0.8,1.2241196220100088,1677.8367788785586
DoublePendulum,16,4000,True,True,1.0,1.257039381404692,3451.780946136178
DoublePendulum,32,4000,False,False,1.0,0.9055226002171832,1638.9524753794612
DoublePendulum,32,4000,False,True,1.0,0.5967960423090172,1460.5707839491968
DoublePendulum,32,4000,True,False,0.8,0.502892889294765,310.4268080222864
DoublePendulum,32,4000,True,True,0.4,3.025810344983808,21838.42921663062
DoublePendulum,64,4000,False,False,0.8,0.0435931094992752,365.9429081042774
DoublePendulum,64,4000,False,True,0.8,0.3329047404531096,1596.5812975543297
DoublePendulum,64,4000,True,False,0.8,0.7166941027967751,2365.9336800970505
DoublePendulum,64,4000,True,True,1.0,0.8722812229390773,20210.98409467332
DoublePendulum,4,16000,False,False,1.0,0.0208484625426569,335.1065283400644
DoublePendulum,4,16000,False,True,1.0,0.0234567893126663,462.0647466785461
DoublePendulum,4,16000,True,False,1.0,0.7253496736911484,1292.0584498117964
DoublePendulum,4,16000,True,True,0.8,0.0450671960331643,5253.325182990822
DoublePendulum,8,16000,False,False,1.0,0.0214449495469242,432.44304818865766
DoublePendulum,8,16000,False,True,1.0,0.0213397175007062,353.56418555539057
DoublePendulum,8,16000,True,False,0.6,0.7718202684716482,23179.71109368358
DoublePendulum,8,16000,True,True,1.0,1.2233170155154434,1501.5242973368554
DoublePendulum,16,16000,False,False,1.0,0.5420236450046649,628.9536273940749
DoublePendulum,16,16000,False,True,1.0,0.6239146072827564,228.1189242632815
DoublePendulum,16,16000,True,False,0.8,0.9570518133913992,2572.8245091220224
DoublePendulum,16,16000,True,True,1.0,1.038576919444446,3361.737211474669
DoublePendulum,32,16000,False,False,1.0,1.0473052253390924,8151.923854336753
DoublePendulum,32,16000,False,True,1.0,1.3328484366101911,2459.340160683821
DoublePendulum,32,16000,True,False,0.8,0.5687119912752925,756.9209895143399
DoublePendulum,32,16000,True,True,1.0,0.558633940379193,3197.8381870609005
DoublePendulum,64,16000,False,False,0.8,0.1061318497750035,541.4712249654651
DoublePendulum,64,16000,False,True,0.8,0.44513420185511,794.0554100713005
DoublePendulum,64,16000,True,False,0.8,1.6821031587109323,19839.734808952024
DoublePendulum,64,16000,True,True,0.6,1.2198563937098377,2321.832303849736
DoublePendulum,4,60000,False,False,1.0,0.0908814533589062,800.0709082136366
DoublePendulum,4,60000,False,True,1.0,0.1194401605999881,339.70512068496333
DoublePendulum,4,60000,True,False,0.6,0.8540046492731342,5568.935015749738
DoublePendulum,4,60000,True,True,0.8,1.033732524514182,14495.742872991446
DoublePendulum,8,60000,False,False,1.0,0.0724466558255512,424.83985677104505
DoublePendulum,8,60000,False,True,1.0,0.1493255467839883,333.8746099704861
DoublePendulum,8,60000,True,False,1.0,1.5116656768899988,7293.442077571768
DoublePendulum,8,60000,True,True,0.8,1.007684308306633,1410.5712409017033
DoublePendulum,16,60000,False,False,1.0,0.5955652155332996,327.9256439695969
DoublePendulum,16,60000,False,True,1.0,0.1858894482978711,233.9722745202718
DoublePendulum,16,60000,True,False,1.0,1.2312016534776613,506.6643280123239
DoublePendulum,16,60000,True,True,0.8,0.9455203767727336,932.4170343025976
