env_name,train_samples,encode_dim,use_control_loss,use_covariance_loss,mean_JrPE,mean_JrPE,mean_survival_steps,mean_survival_steps
,,,,,mean,std,mean,std
G1,3333,53,False,False,0.2792282822325335,0.04745236837248842,5.9154,0.8122132109243239
G1,3333,53,False,True,0.2792282822325335,0.04745236837248842,5.9154,0.8122132109243239
G1,3333,53,True,False,0.25601876460704465,0.02699276569419438,10.8048,1.7495584300045541
G1,3333,53,True,True,0.25601876460704465,0.02699276569419438,10.8048,1.7495584300045541
G1,3333,106,False,False,0.31527499957099575,0.031284035258018275,5.289,0.7225095155082736
G1,3333,106,False,True,0.31527499957099575,0.031284035258018275,5.289,0.7225095155082736
G1,3333,106,True,False,0.2251222475312494,0.03824191228822773,16.2906,2.8346271888909835
G1,3333,106,True,True,0.2251222475312494,0.03824191228822773,16.2906,2.8346271888909835
G1,3333,212,False,False,0.33147786377663935,0.016189998131519036,5.1606000000000005,0.5797527921450663
G1,3333,212,False,True,0.33147786377663935,0.016189998131519036,5.1606000000000005,0.5797527921450663
G1,3333,212,True,False,0.2017401917753754,0.01956223510139749,24.587600000000002,2.251113902049384
G1,3333,212,True,True,0.2017401917753754,0.01956223510139749,24.587600000000002,2.251113902049384
G1,3333,424,False,False,0.3205109561989448,0.02717588214687821,5.7288,1.2286114927022291
G1,3333,424,False,True,0.3205109561989448,0.02717588214687821,5.7288,1.2286114927022291
G1,3333,424,True,False,0.18956021535754572,0.03380146694788159,29.977800000000002,1.7767337166835113
G1,3333,424,True,True,0.18956021535754572,0.03380146694788159,29.977800000000002,1.7767337166835113
G1,3333,848,False,False,0.2936141511317878,0.028495634634643278,7.606199999999999,2.26707856061496
G1,3333,848,False,True,0.2936141511317878,0.028495634634643278,7.606199999999999,2.26707856061496
G1,3333,848,True,False,0.16493519310868532,0.004935621007925694,29.145,2.2297189284750654
G1,3333,848,True,True,0.16493519310868532,0.004935621007925694,29.145,2.2297189284750654
G1,13333,53,False,False,0.27729138945713483,0.0494811924149356,5.7832,0.6580996884971151
G1,13333,53,False,True,0.27729138945713483,0.0494811924149356,5.7832,0.6580996884971151
G1,13333,53,True,False,0.2600068904249464,0.039080426422932975,10.6016,1.1295511497935808
G1,13333,53,True,True,0.2600068904249464,0.039080426422932975,10.6016,1.1295511497935808
G1,13333,106,False,False,0.30629192564550356,0.03146877709747992,5.252599999999999,0.6364069452795118
G1,13333,106,False,True,0.30629192564550356,0.03146877709747992,5.252599999999999,0.6364069452795118
G1,13333,106,True,False,0.23277470090054697,0.052247582453512846,14.6176,3.144811806770002
G1,13333,106,True,True,0.23277470090054697,0.052247582453512846,14.6176,3.144811806770002
G1,13333,212,False,False,0.33436077636716516,0.05860583482180144,5.3096000000000005,0.9995117808210168
G1,13333,212,False,True,0.33436077636716516,0.05860583482180144,5.3096000000000005,0.9995117808210168
G1,13333,212,True,False,0.20678796528605448,0.008311731545767273,23.168200000000002,1.9840311741502454
G1,13333,212,True,True,0.20678796528605448,0.008311731545767273,23.168200000000002,1.9840311741502454
G1,13333,424,False,False,0.30902007887371585,0.03405002246084557,6.757600000000001,2.411914654377306
G1,13333,424,False,True,0.30902007887371585,0.03405002246084557,6.757600000000001,2.411914654377306
G1,13333,424,True,False,0.1939968648587179,0.019459414139792464,29.3918,1.2882184209209253
G1,13333,424,True,True,0.1939968648587179,0.019459414139792464,29.3918,1.2882184209209253
G1,13333,848,False,False,0.28059945318554436,0.022024779744706107,7.596000000000001,2.0049078532441333
G1,13333,848,False,True,0.28059945318554436,0.022024779744706107,7.596000000000001,2.0049078532441333
G1,13333,848,True,False,0.16852802177058052,0.010594265370054043,30.108999999999998,1.6048858214838826
G1,13333,848,True,True,0.16852802177058052,0.010594265370054043,30.108999999999998,1.6048858214838826
G1,53333,53,False,False,0.14992254747475456,0.01083513137234771,48.5154,1.8531755988033078
G1,53333,53,False,True,0.15138476008619411,0.01937734695143737,49.4296,1.9641514198248564
G1,53333,53,True,False,0.11170037501799032,0.008933244845630005,53.586400000000005,1.8100411045056413
G1,53333,53,True,True,0.11748799605221952,0.02408712946128691,54.036,1.671856004564983
G1,53333,106,False,False,0.15804734959209377,0.01884923773828746,49.5686,1.6734889602265086
G1,53333,106,False,True,0.15687422331465536,0.019793675016011387,52.58819999999999,0.7264954920713574
G1,53333,106,True,False,0.11037028294134424,0.01589431126157895,53.1346,1.7349616134082049
G1,53333,106,True,True,0.11372205464164062,0.014395521325459914,56.3106,3.168027825004066
G1,53333,212,False,False,0.16964278242784903,0.008373234270466923,49.5634,0.8979609122896177
G1,53333,212,False,True,0.1750650693608907,0.008565999054137774,51.486599999999996,1.1350935203761854
G1,53333,212,True,False,0.13682654569645164,0.02520196078882526,51.23199999999999,2.9583754832678024
G1,53333,212,True,True,0.1366742608582719,0.012350448716151763,54.813,1.5436371011348513
G1,53333,424,False,False,0.17872415363400415,0.017728308352193724,53.349599999999995,2.563399754232645
G1,53333,424,False,True,0.18342582144439243,0.01690069079513943,53.3394,1.9494738520944555
G1,53333,424,True,False,0.15010198831301894,0.017877971017240833,52.689800000000005,2.9640586532658233
G1,53333,424,True,True,0.1349543869763638,0.007447604251044343,55.061,1.7479446501534308
G1,53333,848,False,False,0.17957076645985173,0.028377439809066686,51.47919999999999,1.6052148454334714
G1,53333,848,False,True,0.16297785331875475,0.0074269959741818615,53.654999999999994,1.6235059285386084
G1,53333,848,True,False,0.1375102637789387,0.00783906049650875,53.964999999999996,1.465045221145067
G1,53333,848,True,True,0.13176002890593658,0.017592675510080792,55.4514,0.6445159423939801
