env_name,encode_dim,train_samples,use_control_loss,use_covariance_loss,stability_rate,error,control_cost
DampingPendulum,2,1000,False,False,1.0,0.8396244603544455,6838.069675902583
DampingPendulum,2,1000,False,True,0.8,1.1255026492207392,364.922519204572
DampingPendulum,2,1000,True,False,1.0,1.1511568426695442,26350.914543035484
DampingPendulum,2,1000,True,True,1.0,0.7770508413224408,3464.542676711012
DampingPendulum,4,1000,False,False,1.0,1.0363749340637596,500.79878221742007
DampingPendulum,4,1000,False,True,1.0,1.0014927412910235,1620.6975907592737
DampingPendulum,4,1000,True,False,1.0,1.122928463441078,53.66284021705316
DampingPendulum,4,1000,True,True,1.0,0.0581710946911991,5034.025490129544
DampingPendulum,8,1000,False,False,1.0,0.7619380984996243,531.075084182482
DampingPendulum,8,1000,False,True,1.0,0.7053470091620814,5457.714147912101
DampingPendulum,8,1000,True,False,1.0,1.1152881790516778,1326.3052659390848
DampingPendulum,8,1000,True,True,1.0,0.0423556127965051,2450.42000012003
DampingPendulum,16,1000,False,False,1.0,0.2092224140479454,21896.72339467349
DampingPendulum,16,1000,False,True,1.0,0.7447263162160895,42181.348993584994
DampingPendulum,16,1000,True,False,1.0,0.1036342941000576,1798.4718101170192
DampingPendulum,16,1000,True,True,1.0,0.2852765473515499,2553.249869110902
DampingPendulum,32,1000,False,False,1.0,0.920779951613682,1197.0813345616934
DampingPendulum,32,1000,False,True,1.0,1.0293976709293742,15495.369515177952
DampingPendulum,32,1000,True,False,1.0,0.2737818544516984,16096.026594526518
DampingPendulum,32,1000,True,True,1.0,0.1423530493616116,18043.07991413845
DampingPendulum,2,4000,False,False,1.0,0.7458761655392177,5775.178679320108
DampingPendulum,2,4000,False,True,1.0,1.0731373824891222,505.2670615357695
DampingPendulum,2,4000,True,False,1.0,0.9858825058215468,455.1974620884053
DampingPendulum,2,4000,True,True,0.8,0.4970086329857331,11516.37649437884
DampingPendulum,4,4000,False,False,1.0,1.039732850993914,486.50344453417904
DampingPendulum,4,4000,False,True,1.0,1.0018367027251665,474.1840096848632
DampingPendulum,4,4000,True,False,1.0,1.0812553237634146,6189.615446679366
DampingPendulum,4,4000,True,True,1.0,0.9606423409008006,451.3178275578666
DampingPendulum,8,4000,False,False,1.0,0.9932432828056008,4873.492852782289
DampingPendulum,8,4000,False,True,1.0,1.005942761386793,470.05879343588987
DampingPendulum,8,4000,True,False,1.0,0.930721451648682,5414.88976532099
DampingPendulum,8,4000,True,True,1.0,0.8675325650286885,5467.573660785999
DampingPendulum,16,4000,False,False,1.0,0.4441123652519144,553.6955310313646
DampingPendulum,16,4000,False,True,1.0,0.2147086902759012,11218.531906102233
DampingPendulum,16,4000,True,False,1.0,1.005885499103495,505.2843902927473
DampingPendulum,16,4000,True,True,0.8,0.6353183293526459,11244.442303263037
DampingPendulum,32,4000,False,False,1.0,0.4665301083251388,1276.9819960509403
DampingPendulum,32,4000,False,True,1.0,1.0281282805936334,546.6908473462825
DampingPendulum,32,4000,True,False,1.0,0.6017552945732149,2866.725453687949
DampingPendulum,32,4000,True,True,1.0,1.0762530162773385,504.5479127820855
DampingPendulum,2,16000,False,False,1.0,1.0419476021562706,533.1292060485916
DampingPendulum,2,16000,False,True,1.0,1.0866659354239896,530.8300223276005
DampingPendulum,2,16000,True,False,1.0,1.1012316276484306,58.35474497454944
DampingPendulum,2,16000,True,True,1.0,0.1424310334492354,23914.52620266921
DampingPendulum,4,16000,False,False,1.0,1.0967489403801085,521.6604648276618
DampingPendulum,4,16000,False,True,1.0,1.039780571900729,531.8941031528367
DampingPendulum,4,16000,True,False,1.0,1.0249618890412069,502.6884850837397
DampingPendulum,4,16000,True,True,1.0,0.7785718194164546,4241.950360301221
DampingPendulum,8,16000,False,False,1.0,1.0957140690166387,531.3764881604042
DampingPendulum,8,16000,False,True,1.0,1.056337226005416,505.0494742821202
DampingPendulum,8,16000,True,False,1.0,0.5995707182636675,68248.0340126046
DampingPendulum,8,16000,True,True,1.0,0.9111737995745324,4775.468516987567
DampingPendulum,16,16000,False,False,1.0,1.1043399984513111,537.4749570075275
DampingPendulum,16,16000,False,True,1.0,0.2749869982653001,1842.01989799128
DampingPendulum,16,16000,True,False,1.0,1.1224600528217803,556.9021688392623
DampingPendulum,16,16000,True,True,1.0,0.6530417898648646,19838.43498616989
DampingPendulum,32,16000,False,False,1.0,0.0194196527325212,1930.165062351748
DampingPendulum,32,16000,False,True,1.0,0.9991880419685826,1227.2996444107457
DampingPendulum,32,16000,True,False,1.0,1.0258392470862543,551.0573263557426
DampingPendulum,32,16000,True,True,1.0,1.0363997105107317,484.57818382464
DampingPendulum,2,60000,False,False,1.0,1.060279132104304,537.3227112532552
DampingPendulum,2,60000,False,True,1.0,1.1220405769512145,539.9570039144377
DampingPendulum,2,60000,True,False,1.0,1.0874449988676471,59.03196268037772
DampingPendulum,2,60000,True,True,1.0,1.0182565731212674,23925.9017850954
DampingPendulum,4,60000,False,False,1.0,1.074666422293953,517.9645045621513
DampingPendulum,4,60000,False,True,1.0,1.1177932323993978,536.5791779162475
DampingPendulum,4,60000,True,False,1.0,0.9958562649855076,550.3731069893395
DampingPendulum,4,60000,True,True,1.0,1.1346085225433615,4972.289894935497
DampingPendulum,8,60000,False,False,1.0,0.9932830244089258,524.5236835904094
DampingPendulum,8,60000,False,True,1.0,1.0626590556939373,2331.4198667488886
DampingPendulum,8,60000,True,False,1.0,0.53407759131983,21894.22973282979
DampingPendulum,8,60000,True,True,0.8,0.962058032975812,6363.135563793655
