encode_dim,JrPE_False_False,JrPE_False_True,JrPE_True_False,JrPE_True_True,Survival_False_False,Survival_False_True,Survival_True_False,Survival_True_True,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Survival_base,Survival_cov,Survival_ctrl,Survival_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%,n_samples
35,0.543807630672223,0.4720814950951147,0.5318396312950949,0.48031013617388524,22.973799999999997,42.6006,25.3033,35.7663,0.543807630672223,0.5318396312950949,0.4720814950951147,0.48031013617388524,22.973799999999997,25.3033,42.6006,35.7663,2.2,13.2,11.7,10.1,85.4,55.7,-1.5,-29.7,1
70,0.4501140780946863,0.41553518301234926,0.44710680721453244,0.40908918687925316,26.084649999999996,42.4321,29.2348,48.737350000000006,0.4501140780946863,0.44710680721453244,0.41553518301234926,0.40908918687925316,26.084649999999996,29.2348,42.4321,48.737350000000006,0.7,7.7,9.1,12.1,62.7,86.8,1.4,24.2,1
140,0.4368094015960197,0.4049503358034831,0.42466171736643243,0.3970190804428194,22.6038,37.7815,26.386550000000003,48.352549999999994,0.4368094015960197,0.42466171736643243,0.4049503358034831,0.3970190804428194,22.6038,26.386550000000003,37.7815,48.352549999999994,2.8,7.3,9.1,16.7,67.1,113.9,1.8,46.8,1
280,0.41423346447868054,0.40306536523954867,0.3979345686828476,0.3950898110178952,25.39725,38.19505,28.95345,45.60249999999999,0.41423346447868054,0.3979345686828476,0.40306536523954867,0.3950898110178952,25.39725,28.95345,38.19505,45.60249999999999,3.9,2.7,4.6,14.0,50.4,79.6,0.7,29.2,1
560,0.4018033975309342,0.3993186850432374,0.39794797827593603,0.38742350196111447,24.52495,39.0309,25.098249999999997,47.32615,0.4018033975309342,0.39794797827593603,0.3993186850432374,0.38742350196111447,24.52495,25.098249999999997,39.0309,47.32615,1.0,0.6,3.6,2.3,59.1,93.0,2.6,33.8,1
