train_samples,JrPE_False_False,JrPE_False_True,JrPE_True_False,JrPE_True_True,Survival_False_False,Survival_False_True,Survival_True_False,Survival_True_True,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Survival_base,Survival_cov,Survival_ctrl,Survival_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%,n_z
3333,0.3080212505821803,0.20747532247598008,0.3080212505821803,0.20747532247598008,5.9399999999999995,22.161160000000002,5.9399999999999995,22.161160000000002,0.3080212505821803,0.3080212505821803,0.20747532247598008,0.20747532247598008,5.9399999999999995,5.9399999999999995,22.161160000000002,22.161160000000002,-0.0,32.6,32.6,0.0,273.1,273.1,0.0,0.0,1
13333,0.30151272470581275,0.21241888864816927,0.30151272470581275,0.21241888864816927,6.1398,21.57764,6.1398,21.57764,0.30151272470581275,0.30151272470581275,0.21241888864816927,0.21241888864816927,6.1398,6.1398,21.57764,21.57764,-0.0,29.5,29.5,0.0,251.4,251.4,0.0,0.0,1
53333,0.16718151991771063,0.12930189114954876,0.16594554550497748,0.1269197454868865,50.49524,52.92156,52.09975999999999,55.13440000000001,0.16718151991771063,0.16594554550497748,0.12930189114954876,0.1269197454868865,50.49524,52.09975999999999,52.92156,55.13440000000001,0.7,22.7,24.1,3.2,4.8,9.2,1.4,4.4,1
200000,0.14939991182582155,0.1389754014762805,0.15735459458740642,0.14541530143823508,58.74924,55.549519999999994,58.65996,56.26768,0.14939991182582155,0.15735459458740642,0.1389754014762805,0.14541530143823508,58.74924,58.65996,55.549519999999994,56.26768,-5.3,7.0,2.7,-0.2,-5.4,-4.2,-4.3,-4.1,1
