env_name,encode_dim,train_samples,use_control_loss,use_covariance_loss,error_eight,error_eight,error_star,error_star
,,,,,mean,std,mean,std
Franka,17,1000,False,False,2.1073604814956193,1.0525122075841187,1.9251999789277936,0.9224188281717511
Franka,17,1000,False,True,1.8805166724997897,0.3294113137469714,1.8156639816401945,0.3378045794120234
Franka,17,1000,True,False,6.441222449245883,10.658305781872446,6.911326078063928,12.097212440258186
Franka,17,1000,True,True,1.8397297986639534,0.3578252498384907,1.6666997139303117,0.191181487226745
Franka,34,1000,False,False,6.891838126881021,12.27150946296517,6.30550996657625,10.77431804166313
Franka,34,1000,False,True,3.398257835196767,2.1011638038332223,2.9215888156596734,1.9822096702439551
Franka,34,1000,True,False,7.013890739973602,9.463166342879509,7.957856396046547,13.473781180088613
Franka,34,1000,True,True,3.425959052316508,2.02122992880154,3.1231360381032878,2.6566323443947972
Franka,68,1000,False,False,7.730290591014094,5.125800497006105,10.586235850939635,10.13953682008731
Franka,68,1000,False,True,8.889822140200724,4.129962508791769,7.867175367173287,7.673654703101028
Franka,68,1000,True,False,12.300554535058959,11.475153248594888,13.403032529463516,10.976812600883896
Franka,68,1000,True,True,14.021632937345643,14.352188061331011,13.251278321990643,12.068944318186908
Franka,136,1000,False,False,16.3768470868844,14.685392587378459,11.17772569942236,11.083593543024232
Franka,136,1000,False,True,8.46142683074029,8.586046739799972,9.746185762553793,9.504344192465403
Franka,136,1000,True,False,10.856875835050051,10.967054912877886,7.962747910019855,9.958505640342759
Franka,136,1000,True,True,7.230404367402673,5.534354761916637,12.866940093839833,10.644802267804915
Franka,272,1000,False,False,2.6453559685919403,1.920401521193066,2.170479146379027,1.2997125976587494
Franka,272,1000,False,True,1.9050301796928324,0.8957756542109504,1.7116438401497198,0.7970101084538557
Franka,272,1000,True,False,1.277777376873177,0.22066772121458303,1.2053503816038384,0.19637350171690868
Franka,272,1000,True,True,1.7476590232335092,0.1835195586527061,1.5956365114241051,0.14125340498034822
Franka,17,4000,False,False,24.980178097918348,5.184830073333204,26.938196709072354,3.774173317720018
Franka,17,4000,False,True,26.35075423504681,3.21865188059659,28.0434334644261,3.890733249109303
Franka,17,4000,True,False,29.582030408812194,2.2375239796298305,29.42430354550833,10.023439205254553
Franka,17,4000,True,True,27.466195775688938,7.544277862141929,27.23713550022139,5.071367268964862
Franka,34,4000,False,False,28.426434592089485,3.7026018590296994,24.361765034891203,3.967425535606168
Franka,34,4000,False,True,23.171359369354736,7.032471379204079,27.410305436650066,5.790363100883958
Franka,34,4000,True,False,26.36095854573004,3.370069144217698,22.062125132339645,6.6935439990719505
Franka,34,4000,True,True,24.699588077928848,4.805380146921588,29.042801152362188,3.791528056693523
Franka,68,4000,False,False,25.382588984431457,4.451469482148991,18.984457009648814,5.517643359984788
Franka,68,4000,False,True,24.382609256946424,2.2047739425503647,20.503316699179653,2.6334223715466747
Franka,68,4000,True,False,25.39032204794798,9.303437839090726,21.98366021619995,6.452916961280485
Franka,68,4000,True,True,26.804026868330162,10.276590449361478,23.52529586350625,4.3119399284488225
Franka,136,4000,False,False,25.40164212902301,1.4885167991292374,27.60425398977418,4.262960509143619
Franka,136,4000,False,True,20.75256108548872,5.190990838449717,30.565801849057777,8.123370045195088
Franka,136,4000,True,False,27.442434543821385,8.02941255226533,32.680714449107676,11.623487001395619
Franka,136,4000,True,True,23.53393419354825,5.2699887448268194,32.2249286210003,7.837743813611522
Franka,272,4000,False,False,25.36338806447099,3.3136106546261472,29.909938935209425,12.28606231115056
Franka,272,4000,False,True,24.72873258733396,5.700613005220586,31.343251786267057,7.661725594685609
Franka,272,4000,True,False,25.680091426964253,6.490371426531949,36.03767891802785,9.86076596710902
Franka,272,4000,True,True,26.109080469716197,3.9774816731144482,26.703184310780056,8.333735966387605
Franka,17,16000,False,False,23.026524600045725,11.1896099195148,26.604964304318592,8.759007432133169
Franka,17,16000,False,True,22.02775854185094,6.841971479084238,24.287219959035617,7.987168574008104
Franka,17,16000,True,False,28.295932030175653,3.468089644647525,30.617363047574326,1.4133898447999569
Franka,17,16000,True,True,28.263871677934976,4.145436538841172,27.130877332641887,6.735616150491975
Franka,34,16000,False,False,18.69834446313293,4.5625721101523,24.34777347306591,9.788757491461727
Franka,34,16000,False,True,19.86115467006535,6.263286093394556,22.277755846688,7.439757919424286
Franka,34,16000,True,False,26.981574060224528,4.754007754023556,19.463083388689196,5.832091150261227
Franka,34,16000,True,True,28.86553186929512,3.4824834729877314,20.784990926358194,5.227323596684117
Franka,68,16000,False,False,32.85894628722579,11.457716460777577,27.42067900610819,8.493222775597093
Franka,68,16000,False,True,28.381652809905887,9.183033235189848,27.035120631455676,5.957509349116508
Franka,68,16000,True,False,24.62184218841695,6.54723501036782,25.16781083861232,6.83824937610526
Franka,68,16000,True,True,22.042032381509145,5.5251677699409605,24.11199467672161,5.97957956124172
Franka,136,16000,False,False,30.235372431698732,3.5315569723442675,29.38051548709753,6.00146850251464
Franka,136,16000,False,True,27.38802147170419,7.041813478547782,26.022474009302375,7.605546362327158
Franka,136,16000,True,False,23.769234490826676,8.457305240399569,30.231245918709778,4.865260837674681
Franka,136,16000,True,True,21.688283510634008,7.808145215633846,29.35088284349471,4.717708686613647
Franka,272,16000,False,False,22.10136730726096,7.845639375549857,26.219778846511154,8.688335961380455
Franka,272,16000,False,True,25.404643473566697,10.130464492635573,25.081934076807023,5.737033143043799
Franka,272,16000,True,False,27.36872711438527,5.2336576605199046,24.12328056192241,6.343999786276709
