train_samples,JrPE_False_False,JrPE_False_True,JrPE_True_False,JrPE_True_True,Survival_False_False,Survival_False_True,Survival_True_False,Survival_True_True,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Survival_base,Survival_cov,Survival_ctrl,Survival_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%,n_z
1000,0.21335277902806565,0.18637108270051214,0.2131124044334296,0.18699350970655862,26.006880000000002,32.07224,27.122239999999998,34.3698,0.21335277902806565,0.2131124044334296,0.18637108270051214,0.18699350970655862,26.006880000000002,27.122239999999998,32.07224,34.3698,0.1,12.6,12.4,4.3,23.3,32.2,-0.3,8.8,1
4000,0.21299599235732486,0.17858452737194502,0.20649461749152884,0.18829491379104973,37.17496,40.650240000000004,38.85808,41.09776,0.21299599235732486,0.20649461749152884,0.17858452737194502,0.18829491379104973,37.17496,38.85808,40.650240000000004,41.09776,3.1,16.2,11.6,4.5,9.3,10.6,-4.6,1.2,1
16000,0.16782713394317317,0.13204706872333333,0.1678226764284829,0.14553898137844118,52.408,56.77428,52.560559999999995,56.20740000000001,0.16782713394317317,0.1678226764284829,0.13204706872333333,0.14553898137844118,52.408,52.560559999999995,56.77428,56.20740000000001,0.0,21.3,13.3,0.3,8.3,7.2,-8.0,-1.1,1
64000,0.13479450814414187,0.12546057800569485,0.13829060740859428,0.13310868578756213,59.387800000000006,57.66784,59.867,58.572,0.13479450814414187,0.13829060740859428,0.12546057800569485,0.13310868578756213,59.387800000000006,59.867,57.66784,58.572,-2.6,6.9,1.3,0.8,-2.9,-1.4,-5.7,-2.2,1
140000,0.14227475222035643,0.12840629072286508,0.1414966671120438,0.1358523375549234,58.66016,57.70164,58.973760000000006,58.32056,0.14227475222035643,0.1414966671120438,0.12840629072286508,0.1358523375549234,58.66016,58.973760000000006,57.70164,58.32056,0.5,9.7,4.5,0.5,-1.6,-0.6,-5.2,-1.1,1
