train_samples,JrPE_False_False,JrPE_False_True,JrPE_True_False,JrPE_True_True,Survival_False_False,Survival_False_True,Survival_True_False,Survival_True_True,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Survival_base,Survival_cov,Survival_ctrl,Survival_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%,n_z
1000,0.29185857239692714,0.24228422116991713,0.29015891139161165,0.25138247888993137,7.43036,17.77188,9.469280000000001,16.3404,0.29185857239692714,0.29015891139161165,0.24228422116991713,0.25138247888993137,7.43036,9.469280000000001,17.77188,16.3404,0.6,17.0,13.9,27.4,139.2,119.9,-3.1,-19.3,1
4000,0.21815839873971782,0.15771391770193066,0.20102426831429127,0.15411302623064121,32.71168,56.797000000000004,40.05412,60.58968,0.21815839873971782,0.20102426831429127,0.15771391770193066,0.15411302623064121,32.71168,40.05412,56.797000000000004,60.58968,7.9,27.7,29.4,22.4,73.6,85.2,1.7,11.6,1
16000,0.2260279328301229,0.13433155457852844,0.20917600004087372,0.1350727981175672,46.88504,85.25120000000001,52.99372000000001,95.28240000000001,0.2260279328301229,0.20917600004087372,0.13433155457852844,0.1350727981175672,46.88504,52.99372000000001,85.25120000000001,95.28240000000001,7.5,40.6,40.2,13.0,81.8,103.2,-0.3,21.4,1
64000,0.1906005545929158,0.1329052226538684,0.17984262066828785,0.12649610310591192,60.71932,84.07704,68.0866,96.71227999999999,0.1906005545929158,0.17984262066828785,0.1329052226538684,0.12649610310591192,60.71932,68.0866,84.07704,96.71227999999999,5.6,30.3,33.6,12.1,38.5,59.3,3.4,20.8,1
140000,0.17641203461458616,0.12956999829551158,0.16612104267460914,0.12895352734739435,67.74584,87.70396000000001,73.70052,98.82212,0.17641203461458616,0.16612104267460914,0.12956999829551158,0.12895352734739435,67.74584,73.70052,87.70396000000001,98.82212,5.8,26.6,26.9,8.8,29.5,45.9,0.3,16.4,1
