Environment,A,alpha,C,R2_linear
DampingPendulum,0.9129262237737716,2.793330161559226,0.008849887332401064,0.7781840385734469
Franka,0.00025393214652200125,1.577689604260265,9.740424691119951e-08,0.8309897424293327
DoublePendulum,0.011815664252749967,2.170696547086591,0.016701302471363953,0.6118172573021643
Polynomial,0.0004698178073999369,0.2539139598793045,0.0002753584097036667,0.33063364231269776
Kinova,3.516526430643562,0.8825216824195108,1.2756189854730998e-19,0.9674408434422982
G1,0.15790181638233722,0.4918441190239713,0.12838563133006678,0.9984905604106852
Go2,0.31951383715590487,0.747841705053573,0.20517532725607565,0.9992252230110751
