M,Variable,A,alpha,C,R2_linear
50,TrainSamples,8980764.989307301,2.833967662619984,6.424145999809553e-05,0.9923959716540334
100,TrainSamples,24376025.641415194,2.59494485228227,0.0004243510966416024,0.9929843837238344
200,TrainSamples,9374694.431705121,2.174598391356499,0.005186024894021883,0.9976815701372184
50,EncodeDim,4.814320531460182e-05,0.6146491561135426,3.797448597236236e-05,-0.5831041412587428
100,EncodeDim,0.001042006388644809,0.2529183637827985,1.0882105764873254e-09,0.48556954827791876
200,EncodeDim,0.056960644010595876,0.5450203314812042,7.126593935874169e-20,0.5644082489539357
