Environment,TrainSamples,EncodeDimMultiplier,LearnedEncodeDim,ActualEncodeDim,UseCovLoss,UseControlLoss,PredictionError,NormalizedCovariance
DampingPendulum,1000,1,2,4,False,False,0.01443922228470622,21218.581446483386
DampingPendulum,1000,1,2,4,False,True,0.06369047561631345,2686.9607351322366
DampingPendulum,1000,1,2,4,True,False,0.026021295106431006,1.1010521923360946e-06
DampingPendulum,1000,1,2,4,True,True,0.08732281888053355,8.171715014291758e-05
DampingPendulum,1000,2,4,6,False,False,0.015988060331450716,2867.6499329469807
DampingPendulum,1000,2,4,6,False,True,0.05640960789145863,998.0401122366551
DampingPendulum,1000,2,4,6,True,False,0.0141671586298986,3.57713907279244e-05
DampingPendulum,1000,2,4,6,True,True,0.036175454621075645,0.000977054693850058
DampingPendulum,1000,4,8,10,False,False,0.01070520568999427,1940.834728231349
DampingPendulum,1000,4,8,10,False,True,0.0260537712793577,121479.38462397152
DampingPendulum,1000,4,8,10,True,False,0.012044446622161238,6.862825001252035e-05
DampingPendulum,1000,4,8,10,True,True,0.0203732480989865,0.0056525477442466235
DampingPendulum,1000,8,16,18,False,False,0.010350790902497702,550.3019144289868
DampingPendulum,1000,8,16,18,False,True,0.02001672637087079,703.5934391092842
DampingPendulum,1000,8,16,18,True,False,0.010514892417772004,0.00017590033652148206
DampingPendulum,1000,8,16,18,True,True,0.017206768576284562,0.005919526008836287
DampingPendulum,1000,16,32,34,False,False,0.010429258133002479,272.40599234342966
DampingPendulum,1000,16,32,34,False,True,0.01620679850479854,4121.290439152177
DampingPendulum,1000,16,32,34,True,False,0.010781381802823533,0.0002218909836053742
DampingPendulum,1000,16,32,34,True,True,0.016046330662012203,0.00848419322205973
DampingPendulum,4000,1,2,4,False,False,0.013364723213994005,28912.168916322255
DampingPendulum,4000,1,2,4,False,True,0.047320130179631596,1291.457057524046
DampingPendulum,4000,1,2,4,True,False,0.021543589521081666,4.9777468432878154e-06
DampingPendulum,4000,1,2,4,True,True,0.13517516376732336,6.475850592685796e-05
DampingPendulum,4000,2,4,6,False,False,0.012276006075707729,2806.087039152635
DampingPendulum,4000,2,4,6,False,True,0.02194868352404951,1794.7330277132112
DampingPendulum,4000,2,4,6,True,False,0.013212327633070637,2.3662534014073915e-05
DampingPendulum,4000,2,4,6,True,True,0.020002180416340505,0.0008213688931111739
DampingPendulum,4000,4,8,10,False,False,0.00935917708904292,1952.9705694756626
DampingPendulum,4000,4,8,10,False,True,0.014132179729534827,4677.364921270948
DampingPendulum,4000,4,8,10,True,False,0.010113609261163229,4.976317624121006e-05
DampingPendulum,4000,4,8,10,True,True,0.013171127377716293,0.0028724950264621815
DampingPendulum,4000,8,16,18,False,False,0.008864176616259808,625.6870341074127
DampingPendulum,4000,8,16,18,False,True,0.011940720772640022,256.28194258994904
DampingPendulum,4000,8,16,18,True,False,0.008996678435496024,5.756474897367171e-05
DampingPendulum,4000,8,16,18,True,True,0.011486545123937063,0.008866895525410284
DampingPendulum,4000,16,32,34,False,False,0.008878425700460974,327.2729849504279
DampingPendulum,4000,16,32,34,False,True,0.011018003937935932,98.01434985711141
DampingPendulum,4000,16,32,34,True,False,0.008953420691652838,0.0001087325638099401
DampingPendulum,4000,16,32,34,True,True,0.010911754948320493,0.011144766008355393
DampingPendulum,16000,1,2,4,False,False,0.013142333755371681,34428.56709360442
DampingPendulum,16000,1,2,4,False,True,0.0441294399295429,655.0140025190756
DampingPendulum,16000,1,2,4,True,False,0.021963836499004418,3.1640603423806806e-07
DampingPendulum,16000,1,2,4,True,True,0.07761454941469904,4.435164568404075e-06
DampingPendulum,16000,2,4,6,False,False,0.011361915812488738,2496.273146795702
DampingPendulum,16000,2,4,6,False,True,0.01742214758928508,726.1530198738886
DampingPendulum,16000,2,4,6,True,False,0.013244915690732327,1.4331925623301657e-05
DampingPendulum,16000,2,4,6,True,True,0.017338419516686788,0.00011405163241513458
DampingPendulum,16000,4,8,10,False,False,0.009105929151705794,1958.0391078686223
DampingPendulum,16000,4,8,10,False,True,0.011285334691059,479.74278798757916
DampingPendulum,16000,4,8,10,True,False,0.00977136749023571,4.630975267459509e-05
DampingPendulum,16000,4,8,10,True,True,0.011655117459502842,0.0002745660364494645
DampingPendulum,16000,8,16,18,False,False,0.008609269866818052,678.2189788458177
DampingPendulum,16000,8,16,18,False,True,0.010272345057870527,56.328780430162944
DampingPendulum,16000,8,16,18,True,False,0.00868412791291158,5.918699919186652e-05
DampingPendulum,16000,8,16,18,True,True,0.009917618288933068,0.000871615392454558
DampingPendulum,16000,16,32,34,False,False,0.008599102318393004,348.1709955315724
DampingPendulum,16000,16,32,34,False,True,0.009393112399652058,18.47803250371204
DampingPendulum,16000,16,32,34,True,False,0.008661639654851781,0.0001008742385440657
DampingPendulum,16000,16,32,34,True,True,0.009280392574753922,0.0010085697680983238
DampingPendulum,64000,1,2,4,False,False,0.01307287650723227,33595.735244443
DampingPendulum,64000,1,2,4,False,True,0.0448905221588086,413.24091373438966
DampingPendulum,64000,1,2,4,True,False,0.021522406494603054,1.3038763857026259e-05
DampingPendulum,64000,1,2,4,True,True,0.08320542212597284,3.906903497268469e-06
DampingPendulum,64000,2,4,6,False,False,0.011344471558524312,2059.652738270589
DampingPendulum,64000,2,4,6,False,True,0.016643342068351753,746.1890869228808
DampingPendulum,64000,2,4,6,True,False,0.012994929968275127,1.0331222766499315e-05
DampingPendulum,64000,2,4,6,True,True,0.018521075483494583,5.048842847427213e-05
DampingPendulum,64000,4,8,10,False,False,0.009010393598304254,1910.169615879015
DampingPendulum,64000,4,8,10,False,True,0.010743075950580062,420.46315373659087
DampingPendulum,64000,4,8,10,True,False,0.009610627292196486,4.401526373089575e-05
DampingPendulum,64000,4,8,10,True,True,0.011226316318426974,0.00010951303832614187
DampingPendulum,64000,8,16,18,False,False,0.008544303153451095,643.1970038259309
DampingPendulum,64000,8,16,18,False,True,0.009439210124192339,51.73033348928975
DampingPendulum,64000,8,16,18,True,False,0.008599774804272629,5.768588328075375e-05
DampingPendulum,64000,8,16,18,True,True,0.009522542839863793,0.0002556484308752608
DampingPendulum,64000,16,32,34,False,False,0.008534893410448854,357.657966512516
DampingPendulum,64000,16,32,34,False,True,0.009040559918753853,14.594108665915654
DampingPendulum,64000,16,32,34,True,False,0.008585199551922034,0.00010665551925204005
DampingPendulum,64000,16,32,34,True,True,0.009071505070775261,0.00037521891993752543
