EncodeDim,WeightedError (CovReg off),WeightedError (CovReg on),Diff_WeightedError,NormCovLoss (CovReg off),NormCovLoss (CovReg on),Diff_NormCovLoss,Diff_WeightedError_Percent
4,0.16486971914736231,0.16294202786611647,0.0019276912812458684,0.4687976428809167,0.0010346344373286913,0.4677630084435879,8.161908253652118
16,0.11910661331300862,0.11803527146907514,0.0010713418439334817,0.08312172400029436,0.0009954858181927876,0.08212623818210156,8.420488680324947
64,0.05137087823788923,0.05079584963317819,0.000575028604711048,0.007273474669006301,0.00024806984263715185,0.007025404826369148,6.757229081210367
256,0.03338105505070345,0.033231397054820325,0.0001496579958831247,0.001878168845757525,0.00011271464985636763,0.0017654541959011576,5.292805499912136
1024,0.03085062262264964,0.030846309954750305,4.312667899332879e-06,0.0034586214671307645,2.114429965944563e-05,0.0034374771674713193,2.1261337417359734
