Environment,WeightedError (CovReg off),WeightedError (CovReg on),Diff_WeightedError_Percent
DampingPendulum,0.00022610141702685745,0.00020547819976941763,3.781946728695072
DoublePendulum,0.01502423483605409,0.013061896466222906,6.591279042182045
G1,0.07965593628556053,0.07857004906982915,1.277050324964657
Go2,0.17474010830064207,0.1736945370529937,0.5615251588644596
Kinova,0.2885462350007404,0.2876960120970852,1.7066120186548694
LogisticMap,2.374600719527007e-05,2.328973833324876e-05,3.396306576215926
Polynomial,0.0011940818730393475,0.0009399357448829909,25.747271509992732
