model_path,robot,mean_JrPE,time_s
../log/May_7_control_loss/best_models/20250507_133424_model_G1.pth,G1,0.3412112173354922,25.87315034866333
../log/May_7_control_loss/best_models/20250507_133641_model_G1.pth,G1,0.358518275267596,25.842285871505737
../log/May_7_control_loss/best_models/20250507_133828_model_G1.pth,G1,0.3359108593643301,28.04721760749817
../log/May_7_control_loss/best_models/20250507_134051_model_G1.pth,G1,0.2926542365197824,28.033195972442627
../log/May_7_control_loss/best_models/20250507_134241_model_G1.pth,G1,0.2813537795497913,37.79134154319763
../log/May_7_control_loss/best_models/20250507_134519_model_G1.pth,G1,0.3455346126933392,37.73343443870544
../log/May_7_control_loss/best_models/20250507_134720_model_G1.pth,G1,0.3240984731252629,131.0513951778412
../log/May_7_control_loss/best_models/20250507_135056_model_G1.pth,G1,0.3229380308511582,131.58370804786682
../log/May_7_control_loss/best_models/20250507_135340_model_G1.pth,G1,0.3315289193697574,1229.2946300506592
../log/May_7_control_loss/best_models/20250507_140508_model_G1.pth,G1,0.3274831521538341,1229.185784816742
../log/May_7_control_loss/best_models/20250507_141324_model_Go2.pth,Go2,0.7062824635729092,13.28648066520691
../log/May_7_control_loss/best_models/20250507_141519_model_Go2.pth,Go2,0.4072548998014985,13.381148338317873
../log/May_7_control_loss/best_models/20250507_141644_model_Go2.pth,Go2,0.344405128685311,14.938437700271606
../log/May_7_control_loss/best_models/20250507_141846_model_Go2.pth,Go2,0.4242859342305158,14.836547136306764
../log/May_7_control_loss/best_models/20250507_142014_model_Go2.pth,Go2,0.3617029626647629,20.433205604553223
../log/May_7_control_loss/best_models/20250507_142225_model_Go2.pth,Go2,0.3864046456960818,20.29701542854309
../log/May_7_control_loss/best_models/20250507_142403_model_Go2.pth,Go2,0.456878194761703,68.5639066696167
../log/May_7_control_loss/best_models/20250507_142703_model_Go2.pth,Go2,0.3815757726440206,68.75190591812134
../log/May_7_control_loss/best_models/20250507_142916_model_Go2.pth,Go2,0.4032549880493872,931.6616308689116
../log/May_7_control_loss/best_models/20250507_143918_model_Go2.pth,Go2,0.3625306213015919,931.7584137916564
../log/May_7_control_loss/best_models/20250611_071939_model_G1.pth,G1,0.3272715166356937,25.868428707122803
../log/May_7_control_loss/best_models/20250611_072136_model_G1.pth,G1,0.3392975438883864,27.9958291053772
../log/May_7_control_loss/best_models/20250611_072326_model_G1.pth,G1,0.3275433544793308,37.74594950675965
../log/May_7_control_loss/best_models/20250611_072514_model_G1.pth,G1,0.3204054829232504,131.02069687843323
../log/May_7_control_loss/best_models/20250611_072701_model_G1.pth,G1,0.3318975701854714,1230.2095832824707
../log/May_7_control_loss/best_models/20250611_072849_model_Go2.pth,Go2,0.3806879229260512,13.101825952529907
../log/May_7_control_loss/best_models/20250611_073022_model_Go2.pth,Go2,0.440952706297779,14.740132093429564
../log/May_7_control_loss/best_models/20250611_073152_model_Go2.pth,Go2,0.6113108122411571,20.187658309936523
../log/May_7_control_loss/best_models/20250611_073319_model_Go2.pth,Go2,0.6597308357885111,68.88283562660217
../log/May_7_control_loss/best_models/20250611_073451_model_Go2.pth,Go2,0.7404643162598417,931.8599200248718
