Environment,A,A_se,alpha,alpha_se,C,C_se,R2_linear,R2_log_after_C,n_points,D_min,D_max
DampingPendulum,0.6359956855991077,0.061638695794452525,2.9767638969927854,0.142814556747751,0.011478656833520258,0.0005405392693816129,0.9997125563636594,0.9393058611307282,5,2.0,32.0
Franka,0.0004094432533687702,0.001690642527495036,1.6487815964463168,1.4892897771631062,1.829364718370675e-08,8.439384343278378e-07,0.880555351041448,-0.044568446865429934,5,17.0,272.0
DoublePendulum,0.048338364640601025,0.012277119591724003,1.7509334852840512,0.18943507286933717,0.01859959053445135,0.00010744762562772515,0.9973527621677246,0.9319397162408803,5,4.0,64.0
Polynomial,0.0029544830441076758,0.1392833346762182,0.05988964913615788,3.3057306290824005,0.0031258965120285107,0.14068843635204584,0.21672549417746045,0.25851926372222367,5,3.0,48.0
Kinova,2.3245373257314887,1.8170972079209333,0.4297224978260505,0.5378739698779859,1.9626545300712235e-16,0.5478473220482477,0.9270279121151443,0.9081941394610134,5,14.0,224.0
G1,5.227551793430835e-07,195259.33888688873,3.9993846717664363,0.0,0.6917429080886414,0.011079391999271023,-2.4020785360789887e-12,,5,53.0,848.0
Go2,74692.50331150026,3103025.1268503587,3.9999999972811024,11.717176672361118,0.7282734924373654,0.012924507241765396,0.6780624573691048,-37.48401101578862,5,35.0,560.0
