Environment,TrainSamples,EncodeDim,UseCovLoss,UseControlLoss,WeightedError,NormalizedCovLoss
Franka,60000,17,0,0,3.4532080561782045e-06,4.605299046143528e-05
Franka,60000,17,1,0,3.664425375676278e-06,1.444889127567763e-06
Franka,60000,17,0,1,3.969726071960939e-06,0.00017422435187988342
Franka,60000,17,1,1,4.469528507974023e-06,1.1285092822188374e-06
Franka,60000,34,0,0,1.1758751725633675e-07,4.222307246156061e-05
Franka,60000,34,1,0,1.0650513020592522e-07,9.452340904302248e-07
Franka,60000,34,0,1,6.617871654442175e-08,4.989504563881733e-05
Franka,60000,34,1,1,1.0287230315897659e-07,8.238920526193256e-07
Franka,60000,68,0,0,2.2638023998340052e-08,2.0053290342313247e-05
Franka,60000,68,1,0,2.4864766318068743e-08,3.350521670552419e-07
Franka,60000,68,0,1,2.4043391566411747e-08,1.3299187698762951e-05
Franka,60000,68,1,1,2.7183216248637914e-08,3.340875440576616e-07
Franka,60000,136,0,0,2.3905564329121976e-08,1.401901052156527e-05
Franka,60000,136,1,0,2.6891341227427696e-08,1.8083230968921594e-07
Franka,60000,136,0,1,2.5147156422342847e-08,9.31755694458392e-06
Franka,60000,136,1,1,2.8057940912032118e-08,1.8233741059880285e-07
Franka,60000,272,0,0,2.231682092696814e-08,1.2420495854010732e-05
Franka,60000,272,1,0,2.296667346203701e-08,9.826267405478912e-08
Franka,60000,272,0,1,2.21124445935513e-08,8.091944815687607e-06
Franka,60000,272,1,1,2.3123525245034667e-08,9.905710142764372e-08
Franka,1000,17,0,0,3.4433449257025464e-06,4.745955558639405e-05
Franka,1000,17,1,0,3.640162425257707e-06,1.5262880362971926e-06
Franka,1000,17,0,1,4.377586800876004e-06,0.00017345391675631724
Franka,1000,17,1,1,4.553153577723155e-06,1.229344832869091e-06
Franka,1000,34,0,0,2.249041830108993e-07,4.481220336122076e-05
Franka,1000,34,1,0,1.470440652999892e-07,1.0373124265042997e-06
Franka,1000,34,0,1,7.326369145643738e-08,4.6089124651699504e-05
Franka,1000,34,1,1,8.686391067058767e-08,8.72546373118928e-07
Franka,1000,68,0,0,4.373510858129838e-08,1.988457118925407e-05
Franka,1000,68,1,0,3.5567341648118334e-08,3.419467018519468e-07
Franka,1000,68,0,1,2.7891491012803306e-08,1.3173862899931614e-05
Franka,1000,68,1,1,3.080559806697285e-08,3.396822749013397e-07
Franka,1000,136,0,0,4.301416063353922e-08,1.4208596651848185e-05
Franka,1000,136,1,0,3.811133586669772e-08,1.8683256741876857e-07
Franka,1000,136,0,1,2.988441488812809e-08,9.463672169187395e-06
Franka,1000,136,1,1,3.312761832677e-08,1.8388304401015106e-07
Franka,1000,272,0,0,3.8845992762517714e-08,1.1983997501001919e-05
Franka,1000,272,1,0,3.3006197849537754e-08,1.0035717566536553e-07
Franka,1000,272,0,1,2.5601606299655243e-08,8.376106375748534e-06
Franka,1000,272,1,1,2.6314071099412885e-08,1.0134688887190225e-07
Franka,4000,17,0,0,4.074452590430159e-06,5.2516315420191705e-05
Franka,16000,17,0,0,4.118288870813562e-06,5.756138567832529e-05
Franka,4000,17,1,0,4.279742825019645e-06,1.4727133497697686e-06
Franka,16000,17,1,0,4.35219908467843e-06,1.4701928724527149e-06
