Environment,encode_dim,n_samples_avgd,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Surv_base,Surv_cov,Surv_ctrl,Surv_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%
Go2,35,5,0.22433216966221908,0.2202159468099328,0.15558963573411,0.1812532543242968,39.87555999999999,46.51892,72.46672,60.65968,1.8,30.6,19.2,16.7,81.7,52.1,-11.4,-29.6
Go2,70,5,0.20933105509791905,0.20320663635975467,0.14704399404101404,0.14953068399361552,48.4492,53.042959999999994,71.34428,77.62172000000001,2.9,29.8,28.6,9.5,47.3,60.2,-1.2,13.0
Go2,140,5,0.2186519325521969,0.19985271724281034,0.1563048669518351,0.1466826799605347,38.30188,47.00264,62.851479999999995,78.7392,8.6,28.5,32.9,22.7,64.1,105.6,4.4,41.5
Go2,280,5,0.22298794863596066,0.2024574829939471,0.1637491182436109,0.15378273853635166,46.202639999999995,52.16964,60.02560000000001,74.55396,9.2,26.6,31.0,12.9,29.9,61.4,4.5,31.4
Go2,560,5,0.2277543872259741,0.2205900596832287,0.17411729942918616,0.1647685768766473,42.66296,45.57008,64.913,76.17232,3.1,23.6,27.7,6.8,52.2,78.5,4.1,26.4
