Environment,encode_dim,n_samples_avgd,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Surv_base,Surv_cov,Surv_ctrl,Surv_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%
G1,53,5,0.1966093087021909,0.18759920394055837,0.1647665444806632,0.17506072811131831,44.48868,45.22692,48.58820000000001,48.6532,4.6,16.2,11.0,1.7,9.2,9.4,-5.2,0.1
G1,106,5,0.17412859233955164,0.17160346563620626,0.15648016432023254,0.16377708679271702,45.467,47.03088,49.96032,50.25444,1.5,10.1,5.9,3.4,9.9,10.5,-4.2,0.6
G1,212,5,0.16993548512733686,0.16890802199818783,0.15121153155973413,0.1561700634703782,47.345600000000005,47.168279999999996,48.4972,49.5354,0.6,11.0,8.1,-0.4,2.4,4.6,-2.9,2.2
G1,424,5,0.1656429696502332,0.16883894283032536,0.1389970261104156,0.1565100081143348,49.065960000000004,49.7958,48.07712,49.248239999999996,-1.9,16.1,5.5,1.5,-2.0,0.4,-10.6,-1.1
G1,848,5,0.16492880987374936,0.1702673384688016,0.13941428105330506,0.13827054172978673,47.27056,48.15976,49.7434,50.87624,-3.2,15.5,16.2,1.9,5.2,7.6,0.7,2.4
