Environment,encode_dim,n_samples_avgd,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Surv_base,Surv_cov,Surv_ctrl,Surv_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%
Go2,35,3,0.21005119481269818,0.20682536856845424,0.14110453531005931,0.1635623415705443,52.72186666666666,59.98373333333333,89.85066666666667,79.04806666666667,1.5,32.8,22.1,13.8,70.4,49.9,-10.7,-20.5
Go2,70,3,0.1969096734310544,0.18411542166481362,0.11837788472482001,0.1187473568097719,64.69793333333332,67.76246666666667,92.50346666666667,102.10666666666667,6.5,39.9,39.7,4.7,43.0,57.8,-0.2,14.8
Go2,140,3,0.19789877138116388,0.18160685441967442,0.12623671212906726,0.1179704954494452,53.592600000000004,62.128600000000006,82.18666666666667,102.1386,8.2,36.2,40.4,15.9,53.4,90.6,4.2,37.2
Go2,280,3,0.18168962744572337,0.16958149319305446,0.1353145829235224,0.12476881623442355,64.78173333333334,72.33186666666667,79.7526,101.28993333333334,6.7,25.5,31.3,11.7,23.1,56.4,5.8,33.2
Go2,560,3,0.20185160299206828,0.1831036344602878,0.14031091079237837,0.1258217042206041,56.456199999999995,62.428066666666666,84.0936,100.1114,9.3,30.5,37.7,10.6,49.0,77.3,7.2,28.4
