Environment,encode_dim,n_samples_avgd,JrPE_base,JrPE_cov,JrPE_ctrl,JrPE_both,Surv_base,Surv_cov,Surv_ctrl,Surv_both,JrPE_impr_cov_%,JrPE_impr_ctrl_%,JrPE_impr_both_%,Surv_impr_cov_%,Surv_impr_ctrl_%,Surv_impr_both_%,JrPE_synergy_%,Surv_synergy_%
G1,53,3,0.16061649529139532,0.15225249542251615,0.1353253495239875,0.15217567021455766,54.08240000000001,53.3116,55.65906666666667,56.0172,5.2,15.7,5.3,-1.4,2.9,3.6,-10.5,0.7
G1,106,3,0.1393314152043924,0.13902488333651292,0.13302021993220634,0.14387622559308802,56.872800000000005,56.8938,57.199999999999996,57.358466666666665,0.2,4.5,-3.3,0.0,0.6,0.9,-7.8,0.3
G1,212,3,0.15668888194404482,0.15693687177740537,0.1355364181507431,0.1418101482938674,56.9102,57.272999999999996,57.08373333333333,57.01493333333334,-0.2,13.5,9.5,0.6,0.3,0.2,-4.0,-0.5
G1,424,3,0.14572689072240783,0.15246981708486407,0.12133631395786497,0.13403932321306358,58.095866666666666,59.56766666666667,57.4982,58.386,-4.6,16.7,8.0,2.5,-1.0,0.5,-8.7,-2.0
G1,848,3,0.13913030735054543,0.14533251729390312,0.11797159418835361,0.11893197388696787,58.132000000000005,58.622800000000005,59.46526666666667,59.723333333333336,-4.5,15.2,14.5,0.8,2.3,2.7,-0.7,0.4
